Zeit	KanalA	KanalB
0.00000000	227.88170000	232.20010000
0.08000000	227.88170000	232.20010000
0.16000000	227.88170000	232.20010000
0.24000000	227.88170000	232.20010000
0.32000000	227.88170000	232.20010000
0.40000000	227.88170000	227.74440000
0.48000000	227.88170000	232.20010000
0.56000000	227.88170000	232.20010000
0.64000000	227.88170000	232.20010000
0.72000000	227.88170000	232.20010000
0.80000000	232.33740000	232.20010000
0.87999999	227.88170000	232.20010000
0.95999999	227.88170000	232.20010000
1.03999999	232.33740000	232.20010000
1.11999999	232.33740000	227.74440000
1.19999999	232.33740000	232.20010000
1.27999999	227.88170000	232.20010000
1.35999999	227.88170000	227.74440000
1.43999999	227.88170000	227.74440000
1.51999999	232.33740000	227.74440000
1.59999999	232.33740000	227.74440000
1.67999999	232.33740000	232.20010000
1.75999999	227.88170000	232.20010000
1.83999999	227.88170000	227.74440000
1.91999999	232.33740000	232.20010000
1.99999999	232.33740000	232.20010000
2.07999999	232.33740000	232.20010000
2.15999999	232.33740000	232.20010000
2.23999999	232.33740000	232.20010000
2.31999999	227.88170000	232.20010000
2.39999999	227.88170000	232.20010000
2.47999998	227.88170000	232.20010000
2.55999998	227.88170000	232.20010000
2.63999998	227.88170000	232.20010000
2.71999998	232.33740000	227.74440000
2.79999998	232.33740000	227.74440000
2.87999998	227.88170000	232.20010000
2.95999998	227.88170000	232.20010000
3.03999998	227.88170000	232.20010000
3.11999998	227.88170000	232.20010000
3.19999998	227.88170000	232.20010000
3.27999998	227.88170000	232.20010000
3.35999998	232.33740000	232.20010000
3.43999998	232.33740000	227.74440000
3.51999998	227.88170000	232.20010000
3.59999998	232.33740000	232.20010000
3.67999998	232.33740000	232.20010000
3.75999998	232.33740000	232.20010000
3.83999998	232.33740000	232.20010000
3.91999998	232.33740000	232.20010000
3.99999998	232.33740000	232.20010000
4.07999998	227.88170000	232.20010000
4.15999997	227.88170000	232.20010000
4.23999997	227.88170000	232.20010000
4.31999997	227.88170000	232.20010000
4.39999997	227.88170000	227.74440000
4.47999997	227.88170000	232.20010000
4.55999997	232.33740000	232.20010000
4.63999997	232.33740000	232.20010000
4.71999997	227.88170000	232.20010000
4.79999997	227.88170000	232.20010000
4.87999997	227.88170000	227.74440000
4.95999997	232.33740000	232.20010000
5.03999997	227.88170000	227.74440000
5.11999997	232.33740000	232.20010000
5.19999997	227.88170000	232.20010000
5.27999997	227.88170000	232.20010000
5.35999997	227.88170000	232.20010000
5.43999997	227.88170000	227.74440000
5.51999997	227.88170000	232.20010000
5.59999997	227.88170000	232.20010000
5.67999997	227.88170000	232.20010000
5.75999996	227.88170000	232.20010000
5.83999996	227.88170000	232.20010000
5.91999996	232.33740000	232.20010000
5.99999996	227.88170000	227.74440000
6.07999996	227.88170000	227.74440000
6.15999996	227.88170000	227.74440000
6.23999996	227.88170000	227.74440000
6.31999996	227.88170000	227.74440000
6.39999996	227.88170000	227.74440000
6.47999996	227.88170000	227.74440000
